title,channel,url,views,duration_minutes,published_year,quality_score,topic,level
Hierarchical Clustering from Scratch – Advanced,Python Engineer,https://www.youtube.com/watch?v=QKduWWYC0rA,107361,103,2018,7.2,clustering,advanced
DBSCAN – Density-Based Clustering – Advanced,Data School,https://www.youtube.com/watch?v=RDZUdRSDOok,61308,160,2023,9.05,clustering,advanced
Dimensionality Reduction for Clustering – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=hZ4a4NgM3u0,165732,17,2024,8.99,clustering,advanced
Customer Segmentation with Python – Advanced,AI Explained,https://www.youtube.com/watch?v=R5dzepQCQ40,9455,169,2018,7.22,clustering,advanced
Classification – Complete Beginner Guide,Krish Naik,https://www.youtube.com/watch?v=JxgmHe2NyeY,159557,141,2021,9.22,classification,beginner
Mastering Classification in 2024,CodeEmporium,https://www.youtube.com/watch?v=s-V7gKrsels,321765,138,2019,6.82,classification,beginner
Classification – Intermediate Concepts,Corey Schafer,https://www.youtube.com/watch?v=ZDa-Z5JzLYM,122124,19,2018,9.48,classification,beginner
Advanced Classification Techniques,Abhishek Thakur,https://www.youtube.com/watch?v=8J5Q4mEzRtY,45505,115,2020,9.48,classification,beginner
Classification – Project Walkthrough,Tech With Tim,https://www.youtube.com/watch?v=XZdY15sHUa8,2624165,41,2025,9.58,classification,beginner
Classification – Complete Beginner Guide – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=sa-TUpSx1JA,200827,118,2021,8.66,classification,intermediate
Mastering Classification in 2024 – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=VrEQBlEVri0,156725,20,2021,9.9,classification,intermediate
Classification – Intermediate Concepts – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=_L39rN6gz7Y,15995,8,2019,8.45,classification,intermediate
Advanced Classification Techniques – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=sa-TUpSx1JA,280060,176,2023,8.16,classification,intermediate
Classification – Project Walkthrough – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=gs9E7E0qOIc,140654,112,2019,9.1,classification,intermediate
Classification – Complete Beginner Guide – Advanced,CodeEmporium,https://www.youtube.com/watch?v=i8NETqtGHms,114004,135,2018,8.26,classification,advanced
Mastering Classification in 2024 – Advanced,Nicholas Renotte,https://www.youtube.com/watch?v=yqkISICHH-U,641972,106,2024,7.63,classification,advanced
Classification – Intermediate Concepts – Advanced,Data School,https://www.youtube.com/watch?v=K9teElePNkk,2198097,149,2021,7.6,classification,advanced
Advanced Classification Techniques – Advanced,Krish Naik,https://www.youtube.com/watch?v=JxgmHe2NyeY,1256798,178,2024,8.54,classification,advanced
Classification – Project Walkthrough – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=gs9E7E0qOIc,554425,99,2025,8.39,classification,advanced
Linear Regression from Scratch,Nicholas Renotte,https://www.youtube.com/watch?v=Souzjv6WfrY,1750103,11,2022,8.43,regression,beginner
"Regularization: Ridge, Lasso, ElasticNet",DeepMind,https://www.youtube.com/watch?v=Q81RR3yKn30,68974,55,2020,8.89,regression,beginner
Polynomial Regression Explained,Corey Schafer,https://www.youtube.com/watch?v=ivl5-snqul8,706869,177,2022,8.69,regression,beginner
Logistic Regression Deep Dive,Sentdex,https://www.youtube.com/watch?v=4b4MUYve_U8,1936,92,2023,8.82,regression,beginner
Regression with Scikit-Learn – Full Guide,Machine Learning Street Talk,https://www.youtube.com/watch?v=I2ZK3ngNvvI,1381891,37,2024,9.29,regression,beginner
Linear Regression from Scratch – Intermediate,Sentdex,https://www.youtube.com/watch?v=VmbA0pi2cRQ,4820378,24,2021,6.53,regression,intermediate
"Regularization: Ridge, Lasso, ElasticNet – Intermediate",Andrej Karpathy,https://www.youtube.com/watch?v=yIYKR4sgzI8,37165,66,2022,6.75,regression,intermediate
Polynomial Regression Explained – Intermediate,Sentdex,https://www.youtube.com/watch?v=VmbA0pi2cRQ,60958,85,2019,7.51,regression,intermediate
Logistic Regression Deep Dive – Intermediate,Andrej Karpathy,https://www.youtube.com/watch?v=I2ZK3ngNvvI,245677,29,2022,8.42,regression,intermediate
Regression with Scikit-Learn – Full Guide – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=R2Zb5s_RrDU,121162,25,2022,7.52,regression,intermediate
Linear Regression from Scratch – Advanced,Machine Learning Street Talk,https://www.youtube.com/watch?v=I2ZK3ngNvvI,969347,153,2023,7.03,regression,advanced
Logistic Regression Deep Dive – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=RACzUOs4hW0,163445,10,2021,7.77,regression,advanced
Regression with Scikit-Learn – Full Guide – Advanced,Yannic Kilcher,https://www.youtube.com/watch?v=_8KNb5iqblE,523217,67,2018,7.43,regression,advanced
Data Cleaning – Complete Beginner Guide,freeCodeCamp.org,https://www.youtube.com/watch?v=r-uOLxNrNk8,774245,52,2024,8.41,data cleaning,beginner
Mastering Data Cleaning in 2024,Yannic Kilcher,https://www.youtube.com/watch?v=Ag1bw8MfHGQ,1690029,139,2022,7.3,data cleaning,beginner
Data Cleaning – Intermediate Concepts,Two Minute Papers,https://www.youtube.com/watch?v=oT4emh72fuA,383720,40,2020,7.35,data cleaning,beginner
Advanced Data Cleaning Techniques,Data School,https://www.youtube.com/watch?v=jxq4-KSB_OA,1154087,128,2025,8.62,data cleaning,beginner
Data Cleaning – Project Walkthrough,CodeEmporium,https://www.youtube.com/watch?v=CmVYGW5CgCc,15075,12,2021,6.96,data cleaning,beginner
Data Cleaning – Complete Beginner Guide – Intermediate,Sentdex,https://www.youtube.com/watch?v=7eh4d6sabA0,151741,8,2024,8.61,data cleaning,intermediate
Mastering Data Cleaning in 2024 – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=_ZvnD73m40o,146944,80,2024,9.51,data cleaning,intermediate
Data Cleaning – Intermediate Concepts – Intermediate,Python Engineer,https://www.youtube.com/watch?v=QgC5lj54TNg,326699,116,2023,9.49,data cleaning,intermediate
Advanced Data Cleaning Techniques – Intermediate,Nicholas Renotte,https://www.youtube.com/watch?v=tRKeLrwfUgU,1421304,49,2019,8.06,data cleaning,intermediate
Data Cleaning – Project Walkthrough – Intermediate,Machine Learning Street Talk,https://www.youtube.com/watch?v=qxpKCBV60U4,128424,28,2018,7.28,data cleaning,intermediate
Data Cleaning – Complete Beginner Guide – Advanced,The AI Epiphany,https://www.youtube.com/watch?v=kOf3QSBV29Y,329451,51,2018,7.31,data cleaning,advanced
Mastering Data Cleaning in 2024 – Advanced,Sentdex,https://www.youtube.com/watch?v=7eh4d6sabA0,302948,157,2023,8.46,data cleaning,advanced
Data Cleaning – Intermediate Concepts – Advanced,Corey Schafer,https://www.youtube.com/watch?v=r-uOLxNrNk8,2037899,104,2025,8.93,data cleaning,advanced
Advanced Data Cleaning Techniques – Advanced,Lex Fridman,https://www.youtube.com/watch?v=bDhvCp3_lYw,939168,145,2018,7.74,data cleaning,advanced
Data Cleaning – Project Walkthrough – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=oT4emh72fuA,2696187,69,2022,7.2,data cleaning,advanced
Sql For Data Science – Complete Beginner Guide,AI Explained,https://www.youtube.com/watch?v=9R3X0JoCLyU,85344,155,2022,9.64,sql for data science,beginner
Mastering Sql For Data Science in 2024,Nicholas Renotte,https://www.youtube.com/watch?v=sVcwVQRHIc8,137728,88,2018,8.31,sql for data science,beginner
Sql For Data Science – Intermediate Concepts,Yannic Kilcher,https://www.youtube.com/watch?v=SY5PvZrJhLE,103857,101,2024,9.13,sql for data science,beginner
Advanced Sql For Data Science Techniques,Andrej Karpathy,https://www.youtube.com/watch?v=wQ0duoTeAAU,148212,42,2023,7.98,sql for data science,beginner
Sql For Data Science – Project Walkthrough,Corey Schafer,https://www.youtube.com/watch?v=pd-0G0MigUA,44868,73,2023,8.45,sql for data science,beginner
Sql For Data Science – Complete Beginner Guide – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=SY5PvZrJhLE,894857,165,2022,6.77,sql for data science,intermediate
Mastering Sql For Data Science in 2024 – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=HXV3zeQKqGY,67062,173,2024,7.44,sql for data science,intermediate
Sql For Data Science – Intermediate Concepts – Intermediate,Sentdex,https://www.youtube.com/watch?v=7eh4d6sabA0,31352,129,2018,6.83,sql for data science,intermediate
Advanced Sql For Data Science Techniques – Intermediate,Andrej Karpathy,https://www.youtube.com/watch?v=7IgVGSaQPaw,1016948,146,2022,8.17,sql for data science,intermediate
Sql For Data Science – Project Walkthrough – Intermediate,Tech With Tim,https://www.youtube.com/watch?v=7mz73uXD9DA,150023,86,2023,6.81,sql for data science,intermediate
Sql For Data Science – Complete Beginner Guide – Advanced,Data School,https://www.youtube.com/watch?v=OT1RErkfLNQ,8459,67,2018,7.53,sql for data science,advanced
Mastering Sql For Data Science in 2024 – Advanced,The AI Epiphany,https://www.youtube.com/watch?v=XN2ymraj27g,4622095,144,2022,7.5,sql for data science,advanced
Sql For Data Science – Intermediate Concepts – Advanced,AI Explained,https://www.youtube.com/watch?v=-u-kCJmJHCk,69257,10,2021,8.03,sql for data science,advanced
Advanced Sql For Data Science Techniques – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=wQ0duoTeAAU,10142,72,2024,7.17,sql for data science,advanced
Sql For Data Science – Project Walkthrough – Advanced,DeepMind,https://www.youtube.com/watch?v=sTiWTx0ifaM,121456,90,2020,7.59,sql for data science,advanced
Big Data – Complete Beginner Guide,Python Engineer,https://www.youtube.com/watch?v=bAyrObl7TYE,78973,38,2024,7.47,big data,beginner
Mastering Big Data in 2024,3Blue1Brown,https://www.youtube.com/watch?v=aircAruvnKk,4468216,67,2023,6.94,big data,beginner
Big Data – Intermediate Concepts,Abhishek Thakur,https://www.youtube.com/watch?v=vA1V8A69e9c,253441,153,2020,8.22,big data,beginner
Advanced Big Data Techniques,Abhishek Thakur,https://www.youtube.com/watch?v=vA1V8A69e9c,97777,101,2021,6.57,big data,beginner
Big Data – Project Walkthrough,Krish Naik,https://www.youtube.com/watch?v=i-5zxJ94NNU,177245,41,2020,9.42,big data,beginner
Big Data – Complete Beginner Guide – Intermediate,Machine Learning Street Talk,https://www.youtube.com/watch?v=7IgVGSaQPaw,120149,114,2023,7.76,big data,intermediate
Mastering Big Data in 2024 – Intermediate,Nicholas Renotte,https://www.youtube.com/watch?v=_xIwjmCH6D4,17175,168,2020,7.37,big data,intermediate
Big Data – Intermediate Concepts – Intermediate,The AI Epiphany,https://www.youtube.com/watch?v=j6kuz_NqkG0,83930,121,2023,9.99,big data,intermediate
Advanced Big Data Techniques – Intermediate,AI Explained,https://www.youtube.com/watch?v=qYNweeDHiyU,1155679,122,2024,9.87,big data,intermediate
Big Data – Project Walkthrough – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=PHsC_t0j1dU,3085802,154,2020,8.5,big data,intermediate
Big Data – Complete Beginner Guide – Advanced,Sentdex,https://www.youtube.com/watch?v=7eh4d6sabA0,6610473,155,2019,7.11,big data,advanced
Mastering Big Data in 2024 – Advanced,Lex Fridman,https://www.youtube.com/watch?v=X7eAwyMvm2c,262897,89,2020,8.34,big data,advanced
Big Data – Intermediate Concepts – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=7xTGNNLPyMI,210624,29,2024,7.9,big data,advanced
Advanced Big Data Techniques – Advanced,Sentdex,https://www.youtube.com/watch?v=HsP0Tuj4tYo,39848,155,2019,8.9,big data,advanced
Big Data – Project Walkthrough – Advanced,Machine Learning Street Talk,https://www.youtube.com/watch?v=YRJbhFLLPyE,636694,29,2019,7.81,big data,advanced
Cloud Computing – Complete Beginner Guide,AI Explained,https://www.youtube.com/watch?v=M988_fsOSWo,18407,148,2025,9.13,cloud computing,beginner
Mastering Cloud Computing in 2024,freeCodeCamp.org,https://www.youtube.com/watch?v=3hLmDS179YE,10307,176,2023,7.45,cloud computing,beginner
Cloud Computing – Intermediate Concepts,Two Minute Papers,https://www.youtube.com/watch?v=N0SYCyS2xZA,335767,143,2022,6.64,cloud computing,beginner
Advanced Cloud Computing Techniques,Nicholas Renotte,https://www.youtube.com/watch?v=XkCn_VP5gxU,66900,176,2020,9.64,cloud computing,beginner
Cloud Computing – Project Walkthrough,AI Explained,https://www.youtube.com/watch?v=M988_fsOSWo,4292,59,2020,8.53,cloud computing,beginner
Cloud Computing – Complete Beginner Guide – Intermediate,Krish Naik,https://www.youtube.com/watch?v=3OP39y4dO_Y,1577609,171,2022,9.11,cloud computing,intermediate
Mastering Cloud Computing in 2024 – Intermediate,Sentdex,https://www.youtube.com/watch?v=K5KVEU3aaeQ,558679,162,2025,8.26,cloud computing,intermediate
Cloud Computing – Intermediate Concepts – Intermediate,DeepMind,https://www.youtube.com/watch?v=0hk0grjJ3GY,419610,120,2025,9.74,cloud computing,intermediate
Advanced Cloud Computing Techniques – Intermediate,AI Explained,https://www.youtube.com/watch?v=N0SYCyS2xZA,326734,141,2019,9.25,cloud computing,intermediate
Cloud Computing – Project Walkthrough – Intermediate,Data School,https://www.youtube.com/watch?v=M988_fsOSWo,27064,81,2025,9.21,cloud computing,intermediate
Cloud Computing – Complete Beginner Guide – Advanced,AI Explained,https://www.youtube.com/watch?v=M988_fsOSWo,19270,53,2025,8.08,cloud computing,advanced
Mastering Cloud Computing in 2024 – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=iSOfkw_YyOU,269119,138,2020,8.98,cloud computing,advanced
Cloud Computing – Intermediate Concepts – Advanced,Data School,https://www.youtube.com/watch?v=N0SYCyS2xZA,67202,59,2018,9.64,cloud computing,advanced
Advanced Cloud Computing Techniques – Advanced,Sentdex,https://www.youtube.com/watch?v=6wlzeDaIGtw,1000894,61,2018,8.7,cloud computing,advanced
Cloud Computing – Project Walkthrough – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=N0SYCyS2xZA,742829,160,2020,8.92,cloud computing,advanced
MLOps Full Course – From Experiment to Production,Yannic Kilcher,https://www.youtube.com/watch?v=wTzvKB6D_34,2681,142,2024,7.46,mlops,beginner
Docker for Machine Learning Engineers,Data School,https://www.youtube.com/watch?v=pTFZFxd4hOI,31432,155,2023,7.41,mlops,beginner
CI/CD Pipelines for ML Projects,Abhishek Thakur,https://www.youtube.com/watch?v=hw17NDhjVHo,265139,165,2024,9.47,mlops,beginner
MLflow Experiment Tracking Tutorial,Corey Schafer,https://www.youtube.com/watch?v=6ngxBkx05Fs,81396,22,2022,9.75,mlops,beginner
MLOps Full Course – From Experiment to Production – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=6ngxBkx05Fs,2516488,160,2019,7.86,mlops,intermediate
Docker for Machine Learning Engineers – Intermediate,Data School,https://www.youtube.com/watch?v=pTFZFxd4hOI,27396,59,2019,6.63,mlops,intermediate
Model Monitoring with Evidently AI – Intermediate,Data School,https://www.youtube.com/watch?v=uOG685WFO00,297427,81,2022,7.2,mlops,intermediate
MLflow Experiment Tracking Tutorial – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=o6vbe5G7xNo,2540,70,2020,7.49,mlops,intermediate
MLOps Full Course – From Experiment to Production – Advanced,Machine Learning Street Talk,https://www.youtube.com/watch?v=-dJPoLm_gtE,6096140,122,2023,8.92,mlops,advanced
Docker for Machine Learning Engineers – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=2ydxPvlrPUA,21943,127,2025,8.76,mlops,advanced
CI/CD Pipelines for ML Projects – Advanced,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=EDb37y_MhRw,101224,97,2020,7.49,mlops,advanced
Model Monitoring with Evidently AI – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=zOvjHcGPOfo,2277846,159,2024,7.69,mlops,advanced
MLflow Experiment Tracking Tutorial – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=Le-A72NjaWs,83786,86,2024,8.06,mlops,advanced
Explainable Ai – Complete Beginner Guide,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=CqOfi41LfDw,2193483,82,2024,8.09,explainable ai,beginner
Mastering Explainable Ai in 2024,Sentdex,https://www.youtube.com/watch?v=JxgmHe2NyeY,337928,40,2022,8.29,explainable ai,beginner
Explainable Ai – Intermediate Concepts,Corey Schafer,https://www.youtube.com/watch?v=oAkLSJNr5zY,553109,62,2020,8.02,explainable ai,beginner
Advanced Explainable Ai Techniques,Yannic Kilcher,https://www.youtube.com/watch?v=ZfWDVO3rzeA,38237,124,2024,9.32,explainable ai,beginner
Explainable Ai – Project Walkthrough,freeCodeCamp.org,https://www.youtube.com/watch?v=_ZvnD73m40o,82943,17,2025,7.78,explainable ai,beginner
Explainable Ai – Complete Beginner Guide – Intermediate,Machine Learning Street Talk,https://www.youtube.com/watch?v=7IgVGSaQPaw,11196,179,2019,9.1,explainable ai,intermediate
Mastering Explainable Ai in 2024 – Intermediate,Tech With Tim,https://www.youtube.com/watch?v=_ZvnD73m40o,76901,85,2022,9.73,explainable ai,intermediate
Explainable Ai – Intermediate Concepts – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=PcbuKRNtCUc,17778,73,2018,7.46,explainable ai,intermediate
Advanced Explainable Ai Techniques – Intermediate,3Blue1Brown,https://www.youtube.com/watch?v=E0Hmnixke2g,90318,47,2025,7.01,explainable ai,intermediate
Explainable Ai – Project Walkthrough – Intermediate,3Blue1Brown,https://www.youtube.com/watch?v=LPZh9BOjkQs,24420,144,2021,7.55,explainable ai,intermediate
Explainable Ai – Complete Beginner Guide – Advanced,3Blue1Brown,https://www.youtube.com/watch?v=aircAruvnKk,8540,118,2022,7.74,explainable ai,advanced
Mastering Explainable Ai in 2024 – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=m8o2GrbR3d8,85696,97,2021,8.9,explainable ai,advanced
Explainable Ai – Intermediate Concepts – Advanced,Sentdex,https://www.youtube.com/watch?v=QlbyGPVaRSE,663683,173,2020,8.8,explainable ai,advanced
Advanced Explainable Ai Techniques – Advanced,Corey Schafer,https://www.youtube.com/watch?v=oAkLSJNr5zY,3651,23,2024,7.47,explainable ai,advanced
Explainable Ai – Project Walkthrough – Advanced,AI Explained,https://www.youtube.com/watch?v=McviMUYiG9s,529425,121,2022,8.75,explainable ai,advanced
Recommendation Systems – Complete Beginner Guide,Corey Schafer,https://www.youtube.com/watch?v=YYXdXT2l-Gg,4255589,133,2025,8.3,recommendation systems,beginner
Mastering Recommendation Systems in 2024,Tech With Tim,https://www.youtube.com/watch?v=8xUher8-5_Q,71703,173,2019,6.69,recommendation systems,beginner
Recommendation Systems – Intermediate Concepts,Nicholas Renotte,https://www.youtube.com/watch?v=doDUihpj6ro,6469247,29,2025,7.76,recommendation systems,beginner
Advanced Recommendation Systems Techniques,Abhishek Thakur,https://www.youtube.com/watch?v=MVB1cbe923A,70784,111,2019,9.02,recommendation systems,beginner
Recommendation Systems – Project Walkthrough,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=Fmtorg_dmM0,48800,174,2020,6.66,recommendation systems,beginner
Recommendation Systems – Complete Beginner Guide – Intermediate,Machine Learning Street Talk,https://www.youtube.com/watch?v=7IgVGSaQPaw,1208,110,2023,7.99,recommendation systems,intermediate
Mastering Recommendation Systems in 2024 – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=htZRCE2GgIs,735341,156,2018,8.04,recommendation systems,intermediate
Recommendation Systems – Intermediate Concepts – Intermediate,Data School,https://www.youtube.com/watch?v=BTjxUS_PylA,36587,40,2021,9.2,recommendation systems,intermediate
Advanced Recommendation Systems Techniques – Intermediate,Data School,https://www.youtube.com/watch?v=BTjxUS_PylA,58231,32,2023,8.36,recommendation systems,intermediate
Recommendation Systems – Project Walkthrough – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=dPsXxLyqpfs,5615,173,2023,6.65,recommendation systems,intermediate
Recommendation Systems – Complete Beginner Guide – Advanced,Krish Naik,https://www.youtube.com/watch?v=s3KnSb9b4Pk,23730,156,2023,8.06,recommendation systems,advanced
Recommendation Systems – Intermediate Concepts – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=s9Qh9fWeOAk,137108,83,2020,7.7,recommendation systems,advanced
Advanced Recommendation Systems Techniques – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=N9lo_UxSkWA,9834,71,2021,9.08,recommendation systems,advanced
Recommendation Systems – Project Walkthrough – Advanced,3Blue1Brown,https://www.youtube.com/watch?v=rbu7Zu5X1zI,106840,33,2025,9.33,recommendation systems,advanced
Graph Neural Networks – Complete Beginner Guide,Two Minute Papers,https://www.youtube.com/watch?v=GXhBEj1ZtE8,22067662,14,2025,9.12,graph neural networks,beginner
Graph Neural Networks – Intermediate Concepts,Tech With Tim,https://www.youtube.com/watch?v=ORMx45xqWkA,44242,151,2021,8.97,graph neural networks,beginner
Advanced Graph Neural Networks Techniques,freeCodeCamp.org,https://www.youtube.com/watch?v=tWVWeAqZ0WU,166242,103,2023,6.69,graph neural networks,beginner
Graph Neural Networks – Project Walkthrough,Sentdex,https://www.youtube.com/watch?v=ORMx45xqWkA,15932,27,2019,7.13,graph neural networks,beginner
Graph Neural Networks – Complete Beginner Guide – Intermediate,Python Engineer,https://www.youtube.com/watch?v=ORMx45xqWkA,94645,24,2018,7.52,graph neural networks,intermediate
Graph Neural Networks – Intermediate Concepts – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=RkYUNFFkXmI,1182668,68,2019,7.04,graph neural networks,intermediate
Advanced Graph Neural Networks Techniques – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=4lW2QBwZLrI,185608,135,2020,6.59,graph neural networks,intermediate
Graph Neural Networks – Project Walkthrough – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=aFnHYEv71U4,2833295,121,2023,9.05,graph neural networks,intermediate
Graph Neural Networks – Complete Beginner Guide – Advanced,DeepMind,https://www.youtube.com/watch?v=EGPJF-tqbwE,235157,79,2021,9.77,graph neural networks,advanced
Mastering Graph Neural Networks in 2024 – Advanced,Tech With Tim,https://www.youtube.com/watch?v=aircAruvnKk,47218,106,2023,8.0,graph neural networks,advanced
Graph Neural Networks – Intermediate Concepts – Advanced,Python Engineer,https://www.youtube.com/watch?v=ORMx45xqWkA,620907,161,2019,9.42,graph neural networks,advanced
Advanced Graph Neural Networks Techniques – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=fl-7e8yBUic,315183,43,2021,9.14,graph neural networks,advanced
Graph Neural Networks – Project Walkthrough – Advanced,freeCodeCamp.org,https://www.youtube.com/watch?v=IA3WxTTPXqQ,24161,39,2022,8.73,graph neural networks,advanced
Attention Is All You Need – Paper Explained,freeCodeCamp.org,https://www.youtube.com/watch?v=eMlx5fFNoYc,376306,38,2023,8.93,transformers,beginner
Transformers from Scratch in PyTorch,Tech With Tim,https://www.youtube.com/watch?v=bTMPwUgLZf0,18288,27,2021,8.74,transformers,beginner
Fine-Tuning LLMs on Custom Data,Krish Naik,https://www.youtube.com/watch?v=Vg3dS-NLUT4,195271,43,2022,7.0,transformers,beginner
Vision Transformers (ViT) Explained,The AI Epiphany,https://www.youtube.com/watch?v=j6kuz_NqkG0,10126945,37,2024,8.96,transformers,beginner
Attention Is All You Need – Paper Explained – Intermediate,Python Engineer,https://www.youtube.com/watch?v=iDulhoQ2pro,1285543,38,2022,6.71,transformers,intermediate
Transformers from Scratch in PyTorch – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=p3sij8QzONQ,1725640,136,2021,7.06,transformers,intermediate
Fine-Tuning LLMs on Custom Data – Intermediate,DeepMind,https://www.youtube.com/watch?v=iOdFUJiB0Zc,122102,180,2019,7.15,transformers,intermediate
Vision Transformers (ViT) Explained – Intermediate,Data School,https://www.youtube.com/watch?v=vJF3TBI8esQ,199649,37,2024,7.65,transformers,intermediate
BERT vs GPT vs T5 – What's the Difference? – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=SZorAJ4I-sA,1761402,180,2025,6.54,transformers,intermediate
Attention Is All You Need – Paper Explained – Advanced,Tech With Tim,https://www.youtube.com/watch?v=ZXiruGOCn9s,1915114,111,2019,8.58,transformers,advanced
Transformers from Scratch in PyTorch – Advanced,Nicholas Renotte,https://www.youtube.com/watch?v=mozBidd58VQ,17703,133,2025,6.93,transformers,advanced
Fine-Tuning LLMs on Custom Data – Advanced,Machine Learning Street Talk,https://www.youtube.com/watch?v=pxhkDaKzBaY,6677233,59,2022,9.27,transformers,advanced
Vision Transformers (ViT) Explained – Advanced,Corey Schafer,https://www.youtube.com/watch?v=ORMx45xqWkA,1428212,53,2022,6.63,transformers,advanced
BERT vs GPT vs T5 – What's the Difference? – Advanced,AI Explained,https://www.youtube.com/watch?v=SZorAJ4I-sA,1913702,134,2024,7.87,transformers,advanced
Transfer Learning – Complete Beginner Guide,Corey Schafer,https://www.youtube.com/watch?v=V_xro1bcAuA,79495,113,2023,9.97,transfer learning,beginner
Mastering Transfer Learning in 2024,Python Engineer,https://www.youtube.com/watch?v=91Hi3P6SxXU,1737922,128,2018,7.43,transfer learning,beginner
Transfer Learning – Intermediate Concepts,Machine Learning Street Talk,https://www.youtube.com/watch?v=3gyeDlZqWko,9828,27,2021,9.91,transfer learning,beginner
Advanced Transfer Learning Techniques,The AI Epiphany,https://www.youtube.com/watch?v=8pp0Oa3t52s,146184,174,2022,9.28,transfer learning,beginner
Transfer Learning – Project Walkthrough,The AI Epiphany,https://www.youtube.com/watch?v=ynx48f7LhCc,3081532,127,2022,7.25,transfer learning,beginner
Transfer Learning – Complete Beginner Guide – Intermediate,Data School,https://www.youtube.com/watch?v=lgCNTuLBMK4,1205099,24,2021,9.51,transfer learning,intermediate
Mastering Transfer Learning in 2024 – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=VrEQBlEVri0,234222,17,2021,8.76,transfer learning,intermediate
Transfer Learning – Intermediate Concepts – Intermediate,Sentdex,https://www.youtube.com/watch?v=_xIwjmCH6D4,65544,112,2023,6.72,transfer learning,intermediate
Advanced Transfer Learning Techniques – Intermediate,The AI Epiphany,https://www.youtube.com/watch?v=qpxTgclVlcc,58461,92,2024,9.32,transfer learning,intermediate
Transfer Learning – Project Walkthrough – Intermediate,Krish Naik,https://www.youtube.com/watch?v=zBOavqh3kWU,54573,79,2020,8.89,transfer learning,intermediate
Transfer Learning – Complete Beginner Guide – Advanced,Lex Fridman,https://www.youtube.com/watch?v=DyPW-994t7w,41052,100,2019,8.74,transfer learning,advanced
Mastering Transfer Learning in 2024 – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=NRmAXDWJVnU,7808769,172,2024,9.58,transfer learning,advanced
Transfer Learning – Intermediate Concepts – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=BTjxUS_PylA,646600,162,2023,7.73,transfer learning,advanced
Advanced Transfer Learning Techniques – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=9wOBkJJ-w2s,8108,174,2020,9.19,transfer learning,advanced
Transfer Learning – Project Walkthrough – Advanced,Python Engineer,https://www.youtube.com/watch?v=e9yMYdnSlUA,76956,154,2021,7.82,transfer learning,advanced
